06249, 20160430, 1350,        10Min,          qgx,           549,     0,
06249, 20160430, 1350,        10Min,           rg,             0,     0,
06249, 20160430, 1350,        10Min,           rh,            62,     0,
06249, 20160430, 1350,        10Min,          rhb,             0,     0,
06249, 20160430, 1350,        10Min,           sq,             0,     0,
06249, 20160430, 1350,        10Min,           ss,      1.929192,     0,
06249, 20160430, 1350,        10Min,           ta,           9.7,     0,
06249, 20160430, 1350,        10Min,           tb,      6.404869,     0,
06249, 20160430, 1350,        10Min,           td,           2.9,     0,
06249, 20160430, 1350,        10Min,          tgn,          11.2,     0,
06249, 20160430, 1350,        10Min,           tn,           9.7,     0,
06249, 20160430, 1350,        10Min,           tx,          10.2,     0,
06249, 20160430, 1350,        10Min,           vv,         33000,     0,
06249, 20160430, 1350,        10Min,           ww,             0, 12832,
06249, 20160430, 1350,        10Min,        ww-10,             0, 12832,
06249, 20160430, 1350,        10Min,           za,         15900,     0,
06249, 20160430, 1350,        10Min,           zm,         33000,     0,
06251, 20160430, 1350,        10Min,          D1H,             0,     0,
06251, 20160430, 1350,        10Min,          Q1H,        207.24,     0,
06251, 20160430, 1350,        10Min,         R12H,             0,     0,
06251, 20160430, 1350,        10Min,          R1H,             0,     0,
06251, 20160430, 1350,        10Min,         R24H,          .033,     0,
06251, 20160430, 1350,        10Min,          R6H,             0,     0,
06251, 20160430, 1350,        10Min,        Sav1H,        5.8465,     0,
06251, 20160430, 1350,        10Min,        Sax1H,          6.18,     0,
06251, 20160430, 1350,        10Min,        Sax3H,          6.45,     0,
06251, 20160430, 1350,        10Min,        Sax6H,           8.8,     0,
06251, 20160430, 1350,        10Min,         Sx1H,          9.59,     0,
06251, 20160430, 1350,        10Min,         Sx3H,          9.59,     0,
06251, 20160430, 1350,        10Min,         Sx6H,         12.31,     0,
06251, 20160430, 1350,        10Min,        Tgn12,           4.2,     0,
06251, 20160430, 1350,        10Min,        Tgn14,           4.2,     0,
06251, 20160430, 1350,        10Min,         Tgn6,           7.9,     0,
06251, 20160430, 1350,        10Min,         Tn12,             5,     0,
06251, 20160430, 1350,        10Min,         Tn14,             5,     0,
06251, 20160430, 1350,        10Min,          Tn6,           7.5,     0,
06251, 20160430, 1350,        10Min,         Tx12,          10.3,     0,
06251, 20160430, 1350,        10Min,         Tx24,          10.3,     0,
06251, 20160430, 1350,        10Min,          Tx6,          10.3,     0,
06251, 20160430, 1350,        10Min,          W10,             0, 12832,
06251, 20160430, 1350,        10Min,       W10-10,             0, 12832,
06251, 20160430, 1350,        10Min,           dd,         312.2,     0,
06251, 20160430, 1350,        10Min,           dr,             0,     0,
06251, 20160430, 1350,        10Min,          dsd,            14,     0,
