06225, 20160405, 0050,        10Min,           dn,         132.2,     0,
06225, 20160405, 0050,        10Min,          dsd,           4.8,     0,
06225, 20160405, 0050,        10Min,           dx,         163.1,     0,
06225, 20160405, 0050,        10Min,           ff,          3.23,     0,
06225, 20160405, 0050,        10Min,          ffs,          3.23,     0,
06225, 20160405, 0050,        10Min,          fsd,           .33,     0,
06225, 20160405, 0050,        10Min,           fx,          3.81,     0,
06225, 20160405, 0050,        10Min,          fxs,          3.81,     0,
06225, 20160405, 0050,        10Min,          gff,          3.81,     0,
06225, 20160405, 0050,        10Min,         gffs,          3.81,     0,
06225, 20160405, 0050,        10Min,           hm,              , 22064,
06225, 20160405, 0050,        10Min,          hm1,              , 22064,
06225, 20160405, 0050,        10Min,          hm2,              , 22064,
06225, 20160405, 0050,        10Min,          hm3,              , 22064,
06225, 20160405, 0050,        10Min,           nm,              , 22064,
06225, 20160405, 0050,        10Min,          nm1,              , 22064,
06225, 20160405, 0050,        10Min,          nm2,              , 22064,
06225, 20160405, 0050,        10Min,          nm3,              , 22064,
06225, 20160405, 0050,        10Min,           sq,             0,     0,
06248, 20160405, 0050,        10Min,        Sav1H,         2.599,     0,
06248, 20160405, 0050,        10Min,        Sax1H,          2.97,     0,
06248, 20160405, 0050,        10Min,        Sax3H,          4.08,     0,
06248, 20160405, 0050,        10Min,        Sax6H,           4.7,     0,
06248, 20160405, 0050,        10Min,         Sx1H,          3.46,     0,
06248, 20160405, 0050,        10Min,         Sx3H,          5.05,     0,
06248, 20160405, 0050,        10Min,         Sx6H,          5.34,     0,
06248, 20160405, 0050,        10Min,           dd,         164.3,     0,
06248, 20160405, 0050,        10Min,          dsd,           3.9,     0,
06248, 20160405, 0050,        10Min,           ff,          2.39,     0,
06248, 20160405, 0050,        10Min,          ffs,          2.39,     0,
06248, 20160405, 0050,        10Min,          fsd,           .14,     0,
06248, 20160405, 0050,        10Min,           fx,          3.36,     0,
06248, 20160405, 0050,        10Min,          fxs,          3.36,     0,
06248, 20160405, 0050,        10Min,          gff,          2.92,     0,
06248, 20160405, 0050,        10Min,         gffs,          2.92,     0,
06248, 20160405, 0050,        10Min,           hm,              , 22064,
06248, 20160405, 0050,        10Min,          hm1,              , 22064,
06248, 20160405, 0050,        10Min,          hm2,              , 22064,
