06319, 20161105, 0340,        10Min,           hm,              , 22064,
06319, 20161105, 0340,        10Min,          hm1,              , 22064,
06319, 20161105, 0340,        10Min,          hm2,              , 22064,
06319, 20161105, 0340,        10Min,          hm3,              , 22064,
06319, 20161105, 0340,        10Min,           nm,              , 22064,
06319, 20161105, 0340,        10Min,          nm1,              , 22064,
06319, 20161105, 0340,        10Min,          nm2,              , 22064,
06319, 20161105, 0340,        10Min,          nm3,              , 22064,
06319, 20161105, 0340,        10Min,           p0,      1002.074,     0,
06319, 20161105, 0340,        10Min,           pg,             0,     0,
06319, 20161105, 0340,        10Min,           pp,      1002.279,     0,
06319, 20161105, 0340,        10Min,           pr,             0,     0,
06319, 20161105, 0340,        10Min,           ps,          1002,     0,
06319, 20161105, 0340,        10Min,          pwc,             0,     0,
06319, 20161105, 0340,        10Min,           qg,             0,     0,
06319, 20161105, 0340,        10Min,          qgn,             0,     0,
06319, 20161105, 0340,        10Min,          qgx,             0,     0,
06319, 20161105, 0340,        10Min,          qnh,      1002.276,     0,
06319, 20161105, 0340,        10Min,           rg,             0,     0,
06319, 20161105, 0340,        10Min,           rh,            96,     0,
06319, 20161105, 0340,        10Min,          rhb,             1,     0,
06319, 20161105, 0340,        10Min,           sq,             0,     0,
06319, 20161105, 0340,        10Min,           ss,             0,     0,
06319, 20161105, 0340,        10Min,           ta,             7,     0,
06319, 20161105, 0340,        10Min,           tb,      6.698288,     0,
06319, 20161105, 0340,        10Min,           td,           6.5,     0,
06319, 20161105, 0340,        10Min,          tgn,           6.4,     0,
06319, 20161105, 0340,        10Min,           tn,           6.7,     0,
06319, 20161105, 0340,        10Min,           tx,             7,     0,
06319, 20161105, 0340,        10Min,           vv,          8000,     0,
06319, 20161105, 0340,        10Min,           ww,            10, 12832,
06319, 20161105, 0340,        10Min,        ww-10,            10, 12832,
06319, 20161105, 0340,        10Min,           za,             4,     0,
06319, 20161105, 0340,        10Min,           zm,          8000,     0,
06356, 20161105, 0340,        10Min,          D1H,          12.6,     0,
06356, 20161105, 0340,        10Min,          Q1H,             0,     0,
06356, 20161105, 0340,        10Min,         R12H,      2.450817,     0,
06356, 20161105, 0340,        10Min,          R1H,     .03798333,     0,
06356, 20161105, 0340,        10Min,         R24H,      2.450817,     0,
06356, 20161105, 0340,        10Min,          R6H,      1.196486,     0,
06356, 20161105, 0340,        10Min,        Sav1H,      3.651833,     0,
06356, 20161105, 0340,        10Min,        Sax1H,          4.12,     0,
