04021000, ta, 10.9, 
04021010, ta, 10.9, 
04021020, ta, 11.3, 
04021030, ta, 11.6, 
04021040, ta, 11.2, 
04021050, ta, 11.2, 
04021100, ta, 11.6, 
04021110, ta, 11.5, 
04021120, ta, 11.6, 
04021130, ta, 11.6, 
04021140, ta, 11.8, 
04021150, ta, 11.8, 
04021200, ta, 11.9, 
04021210, ta, 11.8, 
04021220, ta, 11.8, 
04021230, ta, 11.6, 
04021240, ta, 12, 
04021250, ta, 12.5, 
04021300, ta, 12, 
04021310, ta, 12.1, 
04021320, ta, 12.4, 
04021330, ta, 12, 
04021340, ta, 12.1, 
04021350, ta, 12.1, 
04021400, ta, 12.1, 
04021410, ta, 11.8, 
04021420, ta, 11.6, 
04021430, ta, 11.6, 
04021440, ta, 11.7, 
04021450, ta, 11.7, 
04021500, ta, 11.6, 
04021510, ta, 12.1, 
04021520, ta, 12, 
04021530, ta, 11.8, 
04021540, ta, 11.7, 
04021550, ta, 11.8, 
04021600, ta, 11.9, 
04021610, ta, 12.1, 
04021620, ta, 12.2, 
04021630, ta, 12.1, 
04021640, ta, 11.9, 
04021650, ta, 11.9, 
04021700, ta, 12, 
04021710, ta, 12, 
04021720, ta, 11.9, 
04021730, ta, 11.9, 
04021740, ta, 11.9, 
04021750, ta, 11.8, 
04021800, ta, 11.8, 
04021810, ta, 11.7, 
04021820, ta, 11.8, 
04021830, ta, 11.8, 
04021840, ta, 11.7, 
04021850, ta, 11.7, 
04021900, ta, 11.9, 
04021910, ta, 11.9, 
04021920, ta, 11.8, 
04021930, ta, 11.7, 
04021940, ta, 11.8, 
04021950, ta, 11.7, 
04022000, ta, 11.9, 
04022010, ta, 11.8, 
04022020, ta, 11.8, 
04022030, ta, 11.7, 
04022040, ta, 11.4, 
04022050, ta, 11.4, 
04022100, ta, 11.3, 
04022110, ta, 11.4, 
04022120, ta, 11.3, 
04022130, ta, 11.4, 
04022140, ta, 11.6, 
04022150, ta, 11.6, 
04022200, ta, 11.6, 
04022210, ta, 11.7, 
04022220, ta, 11.8, 
04022230, ta, 11.7, 
04022240, ta, 11.7, 
04022250, ta, 11.7, 
04022300, ta, 11.8, 
04022310, ta, 11.9, 
04022320, ta, 11.9, 
04022330, ta, 11.8, 
04022340, ta, 12.2, 
04022350, ta, 12.4, 
04030000, ta, 12.4, 
04030010, ta, 12.3, 
04030020, ta, 12.1, 
04030030, ta, 12.1, 
04030040, ta, 11.9, 
04030050, ta, 12, 
04030100, ta, 12, 
04030110, ta, 12.1, 
04030120, ta, 12.4, 
04030130, ta, 12.3, 
04030140, ta, 12.2, 
04030150, ta, 12.2, 
04030200, ta, 12.1, 
04030210, ta, 12.3, 
04030220, ta, 12.3, 
04030230, ta, 12.5, 
04030240, ta, 12.8, 
04030250, ta, 13.1, 
04030300, ta, 13, 
04030310, ta, 12.9, 
04030320, ta, 12.7, 
04030330, ta, 12.6, 
04030340, ta, 12.5, 
04030350, ta, 12.3, 
04030400, ta, 12.3, 
04030410, ta, 12.4, 
04030420, ta, 12.5, 
04030430, ta, 12.5, 
04030440, ta, 12.4, 
04030450, ta, 12.5, 
04030500, ta, 12.4, 
04030510, ta, 12.4, 
04030520, ta, 12.4, 
04030530, ta, 12.3, 
04030540, ta, 12.2, 
04030550, ta, 12.4, 
04030600, ta, 12.5, 
04030610, ta, 12.6, 
04030620, ta, 12.6, 
04030630, ta, 12.6, 
04030640, ta, 12.7, 
04030650, ta, 13, 
04030700, ta, 13, 
04030710, ta, 12.9, 
04030720, ta, 12.9, 
04030730, ta, 13.3, 
04030740, ta, 13.2, 
04030750, ta, 13.2, 
04030800, ta, 13.2, 
04030810, ta, 13.3, 
04030820, ta, 13.3, 
04030830, ta, 13.6, 
04030840, ta, 13.5, 
04030850, ta, 13.6, 
04030900, ta, 13.8, 
04030910, ta, 13.7, 
04030920, ta, 13.8, 
04030930, ta, 14.8, 
04030940, ta, 15.6, 
04030950, ta, 15.2, 
04031000, ta, 15.5, 
04031010, ta, 16.1, 
04031020, ta, 16.3, 
04031030, ta, 15, 
04031040, ta, 14.8, 
04031050, ta, 15, 
04031100, ta, 14.9, 
04031110, ta, 15.3, 
04031120, ta, 14.1, 
04031130, ta, 14, 
04031140, ta, 13.7, 
04031150, ta, 13.7, 
04031200, ta, 14, 
04031210, ta, 13.7, 
04031220, ta, 13.6, 
04031230, ta, 13.8, 
04031240, ta, 13.8, 
04031250, ta, 13.7, 
04031300, ta, 13.7, 
04031310, ta, 14.1, 
04031320, ta, 14, 
04031330, ta, 14.1, 
04031340, ta, 14.3, 
04031350, ta, 14.4, 
04031400, ta, 14.6, 
04031410, ta, 14.9, 
04031420, ta, 15.5, 
04031430, ta, 15.2, 
04031440, ta, 15.5, 
04031450, ta, 15.4, 
04031500, ta, 15.6, 
04031510, ta, 15.6, 
04031520, ta, 15.6, 
04031530, ta, 15.9, 
04031540, ta, 15.6, 
04031550, ta, 15.3, 
04031600, ta, 15.6, 
04031610, ta, 15.4, 
04031620, ta, 15.3, 
04031630, ta, 15.2, 
04031640, ta, 15.1, 
04031650, ta, 15, 
04031700, ta, 14.8, 
04031710, ta, 14.9, 
04031720, ta, 14.8, 
04031730, ta, 14.4, 
04031740, ta, 13.7, 
04031750, ta, 13.5, 
04031800, ta, 13.1, 
04031810, ta, 13.3, 
04031820, ta, 13, 
04031830, ta, 12.7, 
04031840, ta, 12.9, 
04031850, ta, 13.3, 
04031900, ta, 13.2, 
04031910, ta, 14.5, 
04031920, ta, 14.4, 
04031930, ta, 14.1, 
04031940, ta, 13.9, 
04031950, ta, 13.8, 
04032000, ta, 13.6, 
04032010, ta, 13.5, 
04032020, ta, 13.2, 
04032030, ta, 13.2, 
04032040, ta, 13, 
04032050, ta, 12.9, 
04032100, ta, 12.8, 
04032110, ta, 12.9, 
04032120, ta, 12.6, 
04032130, ta, 12.8, 
04032140, ta, 12.7, 
04032150, ta, 12.7, 
04032200, ta, 12.8, 
04032210, ta, 12.9, 
04032220, ta, 13.3, 
04032230, ta, 12.9, 
04032240, ta, 12.8, 
04032250, ta, 11.3, 
04032300, ta, 12.7, 
04032310, ta, 12.3, 
04032320, ta, 12.3, 
04032330, ta, 12.4, 
04032340, ta, 12.5, 
04032350, ta, 12.5, 
04040000, ta, 12.6, 
04040010, ta, 12.6, 
04040020, ta, 12.5, 
04040030, ta, 12.3, 
04040040, ta, 12.3, 
04040050, ta, 12.2, 
04040100, ta, 12.2, 
04040110, ta, 12.3, 
04040120, ta, 12.4, 
04040130, ta, 12.5, 
04040140, ta, 12.5, 
04040150, ta, 12.6, 
04040200, ta, 12.7, 
04040210, ta, 12.9, 
04040220, ta, 12.9, 
04040230, ta, 12.8, 
04040240, ta, 12.7, 
04040250, ta, 12.6, 
04040300, ta, 12.5, 
04040310, ta, 12.3, 
04040320, ta, 11.8, 
04040330, ta, 11.2, 
04040340, ta, 11.8, 
04040350, ta, 11.1, 
04040400, ta, 11.1, 
04040410, ta, 11.1, 
04040420, ta, 11.8, 
04040430, ta, 11.7, 
04040440, ta, 12, 
04040450, ta, 12.2, 
04040500, ta, 12.2, 
04040510, ta, 12.2, 
